001-013 Support Identification Code (SIC),014-017 Vehicle Identification Code (VIC),018-026 Numerical day of year,027-030 Data format identification code,031-051 GMT in total tenths of seconds,052-060 Radar site id number (BCD),061-088 E position in meters (scaled),089-090 Position scale code,091-118 F position in meters (scaled),119-120 Velocity scale code,121-148 G position in meters (scaled),149-149 Optical track (TRUE/FALSE),150-150 Using plus time flag (TRUE/FALSE),151-165 F velocity in meters/sec (scaled),166-180 E velocity in meters/sec (scaled),181-181 Liftoff has occurred (TRUE/FALSE),182-182 Plunge mode flag (TRUE/FALSE),183-184 Pulse width,185-185 Refraction correction already (IN),186-186 Droop flag (IN/OUT),187-187 Paramp flag (ON/OFF),188-188 Radiation flag (ON/OFF),189-189 Dual local oscillators vs single,190-190 Beacon (TRUE) vs skin (FALSE) flag,191-191 Track flag (ON/OFF),192-192 Quality of data (GOOD/BAD),193-195 Source mode bits,196-210 G velocity in meters/sec (scaled),211-217 Checksum,218-224 Spare bits,225-240 Sync Bits
1,1,50,0,20666.4,144,-2284479,0,-1459853,0,6066105,0,0,97,183,0,0,0,0,0,0,0,0,0,1,1,1,1030,77,0,XX
1,1,50,0,20666.5,144,-2284461,0,-1459843,0,6066208,0,0,97,184,0,0,0,0,0,0,0,0,0,1,1,1,1029,83,0,X 
1,1,50,0,20666.6,144,-2284442,0,-1459833,0,6066311,0,0,97,184,0,0,0,0,0,0,0,0,0,1,1,1,1028,89,0,XX
1,1,50,0,20666.7,144,-2284424,0,-1459824,0,6066414,0,0,98,184,0,0,0,0,0,0,0,0,0,1,1,1,1027,94,0,X 
1,1,50,0,20666.8,144,-2284405,0,-1459814,0,6066517,0,0,98,185,0,0,0,0,0,0,0,0,0,1,1,1,1027,102,0,XX
1,1,50,0,20666.9,144,-2284387,0,-1459804,0,6066620,0,0,98,185,0,0,0,0,0,0,0,0,0,1,1,1,1026,107,0,X 
1,1,50,0,20667.0,144,-2284368,0,-1459794,0,6066722,0,0,98,185,0,0,0,0,0,0,0,0,0,1,1,1,1025,118,0,XX
1,1,50,0,20667.1,144,-2284350,0,-1459784,0,6066825,0,0,98,186,0,0,0,0,0,0,0,0,0,1,1,1,1024,124,0,X 
1,1,50,0,20667.2,144,-2284331,0,-1459774,0,6066927,0,0,99,186,0,0,0,0,0,0,0,0,0,1,1,1,1023,67,0,XX
1,1,50,0,20667.3,144,-2284312,0,-1459764,0,6067030,0,0,99,186,0,0,0,0,0,0,0,0,0,1,1,1,1022,73,0,X 
1,1,50,0,20667.4,144,-2284294,0,-1459754,0,6067132,0,0,99,186,0,0,0,0,0,0,0,0,0,1,1,1,1022,78,0,XX
1,1,50,0,20667.5,144,-2284275,0,-1459744,0,6067234,0,0,99,187,0,0,0,0,0,0,0,0,0,1,1,1,1021,84,0,X 
1,1,50,0,20667.6,144,-2284256,0,-1459734,0,6067336,0,0,99,187,0,0,0,0,0,0,0,0,0,1,1,1,1020,89,0,XX
1,1,50,0,20667.7,144,-2284237,0,-1459724,0,6067438,0,0,100,187,0,0,0,0,0,0,0,0,0,1,1,1,1019,95,0,X 
1,1,50,0,20667.8,144,-2284219,0,-1459714,0,6067540,0,0,100,188,0,0,0,0,0,0,0,0,0,1,1,1,1018,37,0,XX
1,1,50,0,20667.9,144,-2284200,0,-1459704,0,6067642,0,0,100,188,0,0,0,0,0,0,0,0,0,1,1,1,1018,43,0,X 
1,1,50,0,20668.0,144,-2284181,0,-1459694,0,6067744,0,0,100,188,0,0,0,0,0,0,0,0,0,1,1,1,1017,54,0,XX
1,1,50,0,20668.1,144,-2284162,0,-1459684,0,6067845,0,0,100,189,0,0,0,0,0,0,0,0,0,1,1,1,1016,59,0,X 
1,1,50,0,20668.2,144,-2284143,0,-1459674,0,6067947,0,0,101,189,0,0,0,0,0,0,0,0,0,1,1,1,1015,65,0,XX
1,1,50,0,20668.3,144,-2284124,0,-1459664,0,6068048,0,0,101,189,0,0,0,0,0,0,0,0,0,1,1,1,1014,69,0,X 
1,1,50,0,20668.4,144,-2284105,0,-1459654,0,6068150,0,0,101,190,0,0,0,0,0,0,0,0,0,1,1,1,1013,75,0,XX
1,1,50,0,20668.5,144,-2284086,0,-1459644,0,6068251,0,0,101,190,0,0,0,0,0,0,0,0,0,1,1,1,1013,80,0,X 
1,1,50,0,20668.6,144,-2284067,0,-1459634,0,6068353,0,0,101,190,0,0,0,0,0,0,0,0,0,1,1,1,1012,85,0,XX
1,1,50,0,20668.7,144,-2284048,0,-1459623,0,6068454,0,0,102,191,0,0,0,0,0,0,0,0,0,1,1,1,1011,92,0,X 
1,1,50,0,20668.8,144,-2284029,0,-1459613,0,6068555,0,0,102,191,0,0,0,0,0,0,0,0,0,1,1,1,1010,96,0,XX
1,1,50,0,20668.9,144,-2284010,0,-1459603,0,6068656,0,0,102,191,0,0,0,0,0,0,0,0,0,1,1,1,1009,100,0,X 
1,1,50,0,20669.0,144,-2283990,0,-1459593,0,6068757,0,0,102,191,0,0,0,0,0,0,0,0,0,1,1,1,1009,112,0,XX
1,1,50,0,20669.1,144,-2283971,0,-1459582,0,6068858,0,0,102,192,0,0,0,0,0,0,0,0,0,1,1,1,1008,118,0,X 
1,1,50,0,20669.2,144,-2283952,0,-1459572,0,6068958,0,0,102,192,0,0,0,0,0,0,0,0,0,1,1,1,1007,121,0,XX
1,1,50,0,20669.3,144,-2283933,0,-1459562,0,6069059,0,0,103,192,0,0,0,0,0,0,0,0,0,1,1,1,1006,126,0,X 
1,1,50,0,20669.4,144,-2283913,0,-1459551,0,6069160,0,0,103,193,0,0,0,0,0,0,0,0,0,1,1,1,1005,70,0,XX
1,1,50,0,20669.5,144,-2283894,0,-1459541,0,6069260,0,0,103,193,0,0,0,0,0,0,0,0,0,1,1,1,1004,73,0,X 
1,1,50,0,20669.6,144,-2283875,0,-1459531,0,6069361,0,0,103,193,0,0,0,0,0,0,0,0,0,1,1,1,1004,78,0,XX
1,1,50,0,20669.7,144,-2283855,0,-1459520,0,6069461,0,0,103,194,0,0,0,0,0,0,0,0,0,1,1,1,1003,84,0,X 
1,1,50,0,20669.8,144,-2283836,0,-1459510,0,6069561,0,0,104,194,0,0,0,0,0,0,0,0,0,1,1,1,1002,88,0,XX
1,1,50,0,20669.9,144,-2283816,0,-1459500,0,6069662,0,0,104,194,0,0,0,0,0,0,0,0,0,1,1,1,1001,93,0,X 
1,1,50,0,20670.0,144,-2283797,0,-1459489,0,6069762,0,0,104,195,0,0,0,0,0,0,0,0,0,1,1,1,1000,104,0,XX
1,1,50,0,20670.1,144,-2283777,0,-1459479,0,6069862,0,0,104,195,0,0,0,0,0,0,0,0,0,1,1,1,1000,109,0,X 
1,1,50,0,20670.2,144,-2283758,0,-1459468,0,6069962,0,0,104,195,0,0,0,0,0,0,0,0,0,1,1,1,999,113,0,XX
1,1,50,0,20670.3,144,-2283738,0,-1459458,0,6070062,0,0,105,195,0,0,0,0,0,0,0,0,0,1,1,1,998,55,0,X 
1,1,50,0,20670.4,144,-2283719,0,-1459447,0,6070161,0,0,105,196,0,0,0,0,0,0,0,0,0,1,1,1,997,59,0,XX
1,1,50,0,20670.5,144,-2283699,0,-1459437,0,6070261,0,0,105,196,0,0,0,0,0,0,0,0,0,1,1,1,996,63,0,X 
1,1,50,0,20670.6,144,-2283679,0,-1459426,0,6070361,0,0,105,196,0,0,0,0,0,0,0,0,0,1,1,1,995,68,0,XX
1,1,50,0,20670.7,144,-2283660,0,-1459415,0,6070460,0,0,105,197,0,0,0,0,0,0,0,0,0,1,1,1,995,73,0,X 
1,1,50,0,20670.8,144,-2283640,0,-1459405,0,6070560,0,0,106,197,0,0,0,0,0,0,0,0,0,1,1,1,994,78,0,XX
1,1,50,0,20670.9,144,-2283620,0,-1459394,0,6070659,0,0,106,197,0,0,0,0,0,0,0,0,0,1,1,1,993,82,0,X 
1,1,50,0,20671.0,144,-2283600,0,-1459384,0,6070758,0,0,106,198,0,0,0,0,0,0,0,0,0,1,1,1,992,92,0,XX
1,1,50,0,20671.1,144,-2283580,0,-1459373,0,6070858,0,0,106,198,0,0,0,0,0,0,0,0,0,1,1,1,991,97,0,X 
1,1,50,0,20671.2,144,-2283561,0,-1459362,0,6070957,0,0,106,198,0,0,0,0,0,0,0,0,0,1,1,1,990,100,0,XX
1,1,50,0,20671.3,144,-2283541,0,-1459352,0,6071056,0,0,107,199,0,0,0,0,0,0,0,0,0,1,1,1,990,106,0,X 
1,1,50,0,20671.4,144,-2283521,0,-1459341,0,6071155,0,0,107,199,0,0,0,0,0,0,0,0,0,1,1,1,989,47,0,XX
1,1,50,0,20671.5,144,-2283501,0,-1459330,0,6071254,0,0,107,199,0,0,0,0,0,0,0,0,0,1,1,1,988,51,0,X 
1,1,50,0,20671.6,144,-2283481,0,-1459319,0,6071353,0,0,107,200,0,0,0,0,0,0,0,0,0,1,1,1,987,56,0,XX
1,1,50,0,20671.7,144,-2283461,0,-1459309,0,6071451,0,0,107,200,0,0,0,0,0,0,0,0,0,1,1,1,986,58,0,X 
1,1,50,0,20671.8,144,-2283441,0,-1459298,0,6071550,0,0,108,200,0,0,0,0,0,0,0,0,0,1,1,1,986,64,0,XX
1,1,50,0,20671.9,144,-2283421,0,-1459287,0,6071649,0,0,108,200,0,0,0,0,0,0,0,0,0,1,1,1,985,68,0,X 
1,1,50,0,20672.0,144,-2283401,0,-1459276,0,6071747,0,0,108,201,0,0,0,0,0,0,0,0,0,1,1,1,984,78,0,XX
1,1,50,0,20672.1,144,-2283380,0,-1459265,0,6071845,0,0,108,201,0,0,0,0,0,0,0,0,0,1,1,1,983,82,0,X 
1,1,50,0,20672.2,144,-2283360,0,-1459254,0,6071944,0,0,108,201,0,0,0,0,0,0,0,0,0,1,1,1,982,86,0,XX
1,1,50,0,20672.3,144,-2283340,0,-1459243,0,6072042,0,0,108,202,0,0,0,0,0,0,0,0,0,1,1,1,981,90,0,X 
1,1,50,0,20672.4,144,-2283320,0,-1459232,0,6072141,0,0,109,202,0,0,0,0,0,0,0,0,0,1,1,1,981,96,0,XX
1,1,50,0,20672.5,144,-2283300,0,-1459222,0,6072239,0,0,109,202,0,0,0,0,0,0,0,0,0,1,1,1,980,98,0,X 
1,1,50,0,20672.6,144,-2283280,0,-1459211,0,6072337,0,0,109,203,0,0,0,0,0,0,0,0,0,1,1,1,979,102,0,XX
1,1,50,0,20672.7,144,-2283259,0,-1459200,0,6072435,0,0,109,203,0,0,0,0,0,0,0,0,0,1,1,1,978,106,0,X 
1,1,50,0,20672.8,144,-2283239,0,-1459189,0,6072532,0,0,109,203,0,0,0,0,0,0,0,0,0,1,1,1,977,108,0,XX
1,1,50,0,20672.9,144,-2283219,0,-1459178,0,6072630,0,0,110,204,0,0,0,0,0,0,0,0,0,1,1,1,977,114,0,X 
1,1,50,0,20673.0,144,-2283198,0,-1459167,0,6072728,0,0,110,204,0,0,0,0,0,0,0,0,0,1,1,1,976,124,0,XX
1,1,50,0,20673.1,144,-2283178,0,-1459156,0,6072825,0,0,110,204,0,0,0,0,0,0,0,0,0,1,1,1,975,126,0,X 
1,1,50,0,20673.2,144,-2283157,0,-1459144,0,6072923,0,0,110,204,0,0,0,0,0,0,0,0,0,1,1,1,974,3,0,XX
1,1,50,0,20673.3,144,-2283137,0,-1459133,0,6073020,0,0,110,205,0,0,0,0,0,0,0,0,0,1,1,1,973,6,0,X 
1,1,50,0,20673.4,144,-2283116,0,-1459122,0,6073118,0,0,111,205,0,0,0,0,0,0,0,0,0,1,1,1,972,76,0,XX
1,1,50,0,20673.5,144,-2283096,0,-1459111,0,6073215,0,0,111,205,0,0,0,0,0,0,0,0,0,1,1,1,972,79,0,X 
1,1,50,0,20673.6,144,-2283075,0,-1459100,0,6073312,0,0,111,206,0,0,0,0,0,0,0,0,0,1,1,1,971,83,0,XX
1,1,50,0,20673.7,144,-2283054,0,-1459089,0,6073409,0,0,111,206,0,0,0,0,0,0,0,0,0,1,1,1,970,86,0,X 
